"Country","avg_perc_preg_eia","avg_perc_uw_preg_eia","region"
"Albania",13,59,"Europe"
"Angola",13,28,"Africa"
"Argentina",28,48,"Americas"
"Armenia",37,82,"Asia"
"Australia",19,43,"Oceania"
"Azerbaijan",46,78,"Asia"
"Bangladesh",30,60,"Asia"
"Barbados",43,58,"Americas"
"Belarus",15,56,"Europe"
"Belgium",12,37,"Europe"
"Belize",25,45,"Americas"
"Benin",14,37,"Africa"
"Bhutan",29,68,"Asia"
"Bolivia",26,36,"Americas"
"Bosnia and Herzegovina",20,57,"Europe"
"Botswana",21,32,"Africa"
"Brazil",33,48,"Americas"
"Bulgaria",17,36,"Europe"
"Burkina Faso",13,41,"Africa"
"Burundi",11,26,"Africa"
"Cabo Verde",34,49,"Africa"
"Cambodia",30,65,"Asia"
"Cameroon",15,41,"Africa"
"Canada",17,37,"Americas"
"Central African Republic",13,30,"Africa"
"Chad",7,29,"Africa"
"Chile",36,52,"Americas"
"China",44,78,"Asia"
"Colombia",28,43,"Americas"
"Comoros",16,32,"Africa"
"Congo",21,43,"Africa"
"Costa Rica",24,41,"Americas"
"C̫te d'Ivoire",16,37,"Africa"
"Croatia",24,50,"Europe"
"Cuba",49,77,"Americas"
"Czechia",11,20,"Europe"
"Democratic Republic of Congo",13,28,"Africa"
"Denmark",17,39,"Europe"
"Djibouti",16,41,"Africa"
"Dominican Republic",28,44,"Americas"
"Ecuador",23,35,"Americas"
"El Salvador",23,42,"Americas"
"Eritrea",11,40,"Africa"
"Estonia",21,42,"Europe"
"Eswatini",19,27,"Africa"
"Ethiopia",13,31,"Africa"
"Finland",13,25,"Europe"
"France",18,50,"Europe"
"French Guiana",19,41,"Americas"
"Gabon",21,37,"Africa"
"Gambia",8,31,"Africa"
"Georgia",51,86,"Asia"
"Germany",10,27,"Europe"
"Ghana",20,36,"Africa"
"Greece",25,46,"Europe"
"Guadeloupe",35,53,"Americas"
"Guatemala",14,30,"Americas"
"Guinea",12,38,"Africa"
"Guinea-Bissau",25,59,"Africa"
"Guyana",27,47,"Americas"
"Haiti",24,36,"Americas"
"Honduras",17,31,"Americas"
"Hong Kong (China)",20,46,"Asia"
"Hungary",21,49,"Europe"
"Iceland",16,39,"Europe"
"India",34,77,"Asia"
"Indonesia",22,63,"Asia"
"Italy",29,67,"Europe"
"Jamaica",33,44,"Americas"
"Japan",12,30,"Asia"
"Kazakhstan",30,82,"Asia"
"Kenya",23,38,"Africa"
"Kyrgyzstan",20,79,"Asia"
"Lao People's Democratic Republic",23,68,"Asia"
"Latvia",15,30,"Europe"
"Lesotho",16,24,"Africa"
"Liberia",20,40,"Africa"
"Lithuania",11,28,"Europe"
"Madagascar",27,63,"Africa"
"Malawi",15,27,"Africa"
"Maldives",33,71,"Asia"
"Mali",9,33,"Africa"
"Martinique",30,51,"Americas"
"Mauritania",9,25,"Africa"
"Mayotte",16,36,"Africa"
"Mexico",27,51,"Americas"
"Mongolia",16,66,"Asia"
"Montenegro",9,54,"Europe"
"Mozambique",17,47,"Africa"
"Myanmar",26,74,"Asia"
"Namibia",18,28,"Africa"
"Nepal",32,69,"Asia"
"Netherlands",11,41,"Europe"
"New Zealand",15,29,"Oceania"
"Nicaragua",14,27,"Americas"
"Niger",5,31,"Africa"
"Nigeria",14,48,"Africa"
"North Macedonia",21,63,"Europe"
"Norway",15,32,"Europe"
"Pakistan",23,61,"Asia"
"Panama",24,41,"Americas"
"Papua New Guinea",21,46,"Oceania"
"Paraguay",25,51,"Americas"
"Peru",33,48,"Americas"
"Philippines",26,51,"Asia"
"Poland",17,37,"Europe"
"Portugal",14,32,"Europe"
"Puerto Rico",40,58,"Americas"
"Republic of Moldova",27,71,"Europe"
"Republic of South Korea (South Korea)",34,62,"Asia"
"Reunion",21,40,"Africa"
"Romania",36,71,"Europe"
"Russian Federation",40,72,"Europe"
"Rwanda",15,29,"Africa"
"Saint Lucia",40,55,"Americas"
"Samoa",23,65,"Oceania"
"Sao Tome and Principe",18,30,"Africa"
"Senegal",8,25,"Africa"
"Serbia",20,61,"Europe"
"Sierra Leone",21,51,"Africa"
"Singapore",11,28,"Asia"
"Slovakia",12,26,"Europe"
"Slovenia",13,24,"Europe"
"Solomon Islands",16,28,"Oceania"
"Somalia",11,29,"Africa"
"South Africa",24,37,"Africa"
"South Sudan",12,46,"Africa"
"Spain",16,43,"Europe"
"Sri Lanka",26,72,"Asia"
"Suriname",25,47,"Americas"
"Sweden",21,48,"Europe"
"Switzerland",9,26,"Europe"
"Tajikistan",15,71,"Asia"
"Thailand",32,64,"Asia"
"Timor-Leste",18,68,"Asia"
"Togo",16,32,"Africa"
"Tonga",17,52,"Oceania"
"Trinidad and Tobago",42,58,"Americas"
"Turkmenistan",14,83,"Asia"
"Uganda",17,30,"Africa"
"Ukraine",28,76,"Europe"
"United Kingdom",17,36,"Europe"
"United Republic of Tanzania",16,36,"Africa"
"United States",16,34,"Americas"
"Uruguay",14,28,"Americas"
"Uzbekistan",19,80,"Asia"
"Vanuatu",21,45,"Oceania"
"Viet Nam",44,75,"Asia"
"Zambia",15,28,"Africa"
"Zimbabwe",11,25,"Africa"
